name,oof_balanced_accuracy,pred_agreement_vs_start,correct_corr_vs_start,prob_corr_mean_vs_start,diversity_vs_start
90_subset_guard_68_plus_84,0.9706273255772709,0.9998978084237036,0.9984551035911997,0.9999933016114045,1.578753992299935e-07
84_classwise_research_blend,0.9706213336378409,0.9998614351507845,0.997957617181834,0.9999909811311282,2.8300246723947197e-07
85_classwise_research_blend_69start,0.9706082524706457,0.9990490987222589,0.9857580399096074,0.9995962021826373,1.3542698047492225e-05
68_research_material_stack,0.9706028745010792,0.9998354542415566,0.997539573153573,0.9999933000773132,4.048528015397833e-07
69_guarded_research_stack,0.9705951042727222,0.9990179216311854,0.9852876593826054,0.9995761915651772,1.4448671474975458e-05
56_te_disagreement,0.970572593097016,0.9996726405437285,0.9952255162116539,0.999999944787019,1.5629724169300352e-06
our-classwise-logistic-blender,0.9703944834239558,0.9975751151387294,0.9637586174367777,0.9993220830247255,8.788117992907298e-05
lr-stacker-v9-public-oof,0.9702794714614861,0.9968182046498899,0.9527030258419263,0.9995333262737899,0.0001504892924504361
our-catboost-realmlp-features,0.9697463777458282,0.9944885831224549,0.9174888399309848,0.9987602800637463,0.0004547534001901941
our-ovr-catboost-realmlp-features,0.9691523963410972,0.9919580425636576,0.8763242274135314,0.997460336577142,0.0009945952990471417
realmlp-5,0.9690389777981231,0.9911266534683648,0.8713136940794353,0.9970341049257848,0.0011418781863091875
our-catboost-catv3-bac-chunked,0.9683344482409918,0.9915925777738518,0.8789973329062628,0.9975643008162568,0.0010173205127470986
realmlp-2,0.9682585320837602,0.9891382478821229,0.8412906861275665,0.9956992848235039,0.0017238612260807257
realmlp-0,0.9681693449222352,0.9890828219424367,0.839151879283382,0.9955382100031617,0.0017560075740877576
lgbm-5,0.9681577977657785,0.9903385658884518,0.8599118906746452,0.9968868018806035,0.0013534520380582738
our-lgbm-foldsafe-te-realmlp,0.9678998352167443,0.9901670918875477,0.8543510650927961,0.9959334922809978,0.0014321525936190817
our-pure,0.9663453085278251,0.9856117724695893,0.797447200299571,0.993135902822352,0.002914375769011476
our-xgboost-realmlp-features,0.9660507786219003,0.9858438685920252,0.7966435395429122,0.9931351771645837,0.002878740776891162
our-lgbm-realmlp-features,0.965841826074504,0.9854905282265258,0.791944228117236,0.9929069692490072,0.0030187793494413453
our-meta,0.9658204076646943,0.9854749396809891,0.7952615511498762,0.9929207685272429,0.0029738383191687777
our-xgboost,0.9657208400059697,0.9851735611339455,0.7886347738467124,0.9925735856210292,0.0031337936039715023
our-lgbm-bac-stop,0.96570401990238,0.9852376473767076,0.7868607063665108,0.9926076459875518,0.003146437410497027
our-catboost-depth7-long,0.9652474066182171,0.9838450706420921,0.777016335830393,0.9917596847811714,0.00360228534262745
tabm-0,0.9651820770815824,0.9832579020935417,0.7771057429563963,0.9901280083868361,0.003731717474211297
